county.names,x,y,cases,expected,AFF
aberdeen,387.079989609958,808.713173671771,31,22.7,0.16
angus,344.30417757599,761.715191714654,16,10.5,0.07
annandale,318.449234929147,637.577449317919,0,1.8,0.1
argyll-bute,198.723682532954,694.888987648154,11,8.8,0.1
badenoch,280.802126619102,803.828494028481,2,1.1,0.1
banff-buchan,383.873053615897,851.587033236335,39,8.7,0.16
bearsden,253.590682957226,675.057009549431,1,3.6,0
berwickshire,377.901284203412,654.98402370685,9,2.5,0.24
caithness,314.824123123457,949.563902923997,11,3,0.1
clackmannan,291.425702469416,695.96306757492,2,4.3,0.16
clydebank,248.851114567569,673.954794304481,4,5.3,0
clydesdale,291.356215548577,632.260547572856,7,5.6,0.07
cumbernauld,273.403646085426,677.720821155019,1,3.4,0.01
cumnock-doon,256.510567056278,615.101772008939,5,4.8,0.07
cunninghame,229.7262879816,651.166869071259,11,12.7,0.1
dumbarton,234.481342067726,692.622738528366,6,7.2,0.16
dundee,336.761751067242,734.680872517427,6,19.6,0.01
dunfermline,309.540474509296,689.481859983212,15,12.5,0.01
east.kilbride,265.161857463484,644.629021862723,2,5.6,0.01
east.lothian,354.699359393392,671.943845668498,10,9,0.07
eastwood,254.014745739549,652.37257362575,1,5.7,0.01
edinburgh,319.159969139083,670.670523591648,19,50.7,0.01
ettrick,342.680513280412,633.142503813303,7,4.2,0.07
falkirk,287.358860738494,679.502066590508,8,15.8,0.16
glasgow,259.790922489446,664.271226621566,28,88.7,0
gordon,365.422555244437,824.460786531465,20,6.6,0.16
hamilton,273.056971472034,652.11769136047,3,9.3,0.01
inverclyde,228.288691663457,670.42973991379,9,10.1,0
inverness,247.634711165574,825.720193939304,9,5.5,0.07
kilmarnock,248.315111275425,641.433280114549,3,8.2,0.07
kincardine,346.032804520826,791.209365540816,9,4.6,0.16
kirkcaldy,326.544975890343,697.504835485402,19,15.5,0.01
kyle-carrick,228.686279033576,596.188680822863,11,12.3,0.07
lochaber,202.739140206513,776.531962006163,6,2,0.07
midlothian,331.19428162204,660.214215606749,7,7,0.1
monklands,278.020283701433,668.171786814862,8,9.4,0.01
moray,325.388544970356,844.759533247847,26,8.1,0.1
motherwell,281.798262400643,659.524151716488,6,14.6,0
nairn,288.649082057141,845.596544348432,3,1.1,0.1
NE.fife,338.458416361674,712.71173113316,17,7.8,0.07
nithsdale,287.472072492829,590.125248194239,7,6,0.07
orkney,336.980253811682,1014.10091116502,8,2.4,0.24
perth-kinross,287.925653048559,742.912906552876,16,14.4,0.1
renfrew,242.911758955084,662.246698574869,10,18.8,0.01
ross-cromarty,221.104325229948,870.183251029346,15,4.3,0.1
roxburgh,359.506201321527,612.562994790321,7,4.4,0.1
shetland,450.051527140605,1191.87375030684,7,2.3,0.07
skye-lochalsh,144.225382011313,839.068701476977,9,1.4,0.16
stewartry,268.860852403125,571.217130743102,3,2.9,0.24
stirling,255.152971791736,708.726115508257,8,8.5,0.07
strathkelvin,264.056276774029,674.853198615964,1,7,0.01
sutherland,254.474228229928,928.28181726538,5,1.8,0.16
tweeddale,320.644316092233,589.450420919265,0,4.2,0.16
west.lothian,301.871803147597,666.08981258719,11,10.2,0.1
western.isles,125.603855418942,925.487012400221,13,4.4,0.07
wigtown,230.850647332143,562.210699683206,8,3.3,0.24
